property_id,country,city,property_type,furnishing_status,property_size_sqft,price,constructed_year,previous_owners,rooms,bathrooms,garage,garden,crime_cases_reported,legal_cases_on_property,customer_salary,loan_amount,loan_tenure_years,monthly_expenses,down_payment,emi_to_income_ratio,satisfaction_score,neighbourhood_rating,connectivity_score,decision
25065,Germany,Berlin,Independent House,Unfurnished,2786,832265,2014,5,1,1,0,1,1,1,42800,407175,10,18355,425090,0.11,10,1,2,0
25066,Japan,Kyoto,Townhouse,Unfurnished,3372,1513293,1970,4,1,1,1,1,1,0,11195,803710,20,18375,709583,0.54,7,6,8,0
25067,UAE,Dubai,Independent House,Unfurnished,463,281067,2010,5,8,7,0,0,0,0,51660,218156,15,19010,62911,0.04,9,10,1,1
25068,UAE,Dubai,Studio,Unfurnished,5569,3339586,1967,0,1,1,0,1,1,0,76575,1792564,30,10305,1547022,0.15,8,7,8,1
25069,Germany,Berlin,Studio,Semi-Furnished,4297,1286423,1997,6,7,3,0,1,0,0,90165,646072,20,16850,640351,0.05,10,7,8,1
25070,China,Shenzhen,Townhouse,Semi-Furnished,2408,918276,2001,4,7,3,1,0,2,0,47305,506525,20,18845,411751,0.08,9,6,8,1
25071,UK,Liverpool,Independent House,Unfurnished,5464,2184048,1973,0,8,2,0,1,2,1,91660,1481509,25,3125,702539,0.11,9,2,3,0
25072,Australia,Brisbane,Farmhouse,Semi-Furnished,3278,1053760,2019,0,8,1,0,1,0,0,36735,889010,25,9755,164750,0.16,4,7,3,0
25073,South Africa,Cape Town,Townhouse,Unfurnished,4665,842177,1980,2,8,8,0,1,2,1,32922,586004,10,5100,256173,0.2,5,1,7,0
25074,USA,New York,Townhouse,Unfurnished,2555,1272676,1975,2,4,3,0,0,0,0,48915,708792,15,3040,563884,0.13,7,6,6,1
25075,China,Shenzhen,Villa,Unfurnished,1966,744373,1967,5,6,2,1,1,2,0,79980,355908,15,6385,388465,0.04,8,9,9,1
25076,UAE,Dubai,Townhouse,Fully-Furnished,3560,2131997,2018,6,4,3,0,1,0,0,58545,1275596,15,12285,856401,0.19,2,10,4,0
25077,Germany,Berlin,Villa,Fully-Furnished,5464,1635584,1998,6,2,2,1,0,0,0,76155,1251552,10,9195,384032,0.19,5,1,7,0
25078,South Africa,Cape Town,Farmhouse,Fully-Furnished,3779,677474,1988,6,2,2,1,1,2,0,24420,563002,15,10645,114472,0.2,1,10,9,0
25079,UAE,Dubai,Independent House,Fully-Furnished,3359,2018277,2017,1,7,7,0,0,2,0,17280,989066,25,5690,1029211,0.39,4,5,1,0
25080,Germany,Frankfurt,Studio,Semi-Furnished,1387,412523,1964,2,7,3,1,1,1,0,85850,261269,30,14115,151254,0.02,9,10,4,1
25081,UAE,Dubai,Townhouse,Fully-Furnished,2706,1618720,1996,2,1,1,0,0,1,0,18705,1360272,30,17055,258448,0.46,3,10,5,0
25082,France,Marseille,Apartment,Fully-Furnished,1702,719389,1981,3,6,5,0,0,4,0,55940,579607,20,11755,139782,0.08,6,8,9,0
25083,Australia,Brisbane,Townhouse,Unfurnished,2466,787045,2005,0,1,1,1,1,1,0,73455,526770,15,14720,260275,0.06,5,8,9,0
25084,Japan,Tokyo,Apartment,Unfurnished,4751,2140004,1973,6,8,5,1,0,1,0,79865,1372513,20,10780,767491,0.13,7,4,5,1
25085,France,Marseille,Townhouse,Unfurnished,2429,1023126,2000,6,6,2,0,1,1,0,77745,569458,30,16435,453668,0.05,2,5,2,0
25086,Singapore,Singapore,Farmhouse,Unfurnished,5222,3654943,1990,0,5,3,0,1,0,0,40420,2551684,25,13525,1103259,0.43,7,5,2,0
25087,India,Pune,Apartment,Fully-Furnished,1115,162922,1968,2,6,3,0,1,1,0,11050,72861,20,2951,90061,0.05,10,3,4,1
25088,Singapore,Singapore,Studio,Fully-Furnished,2613,1833347,2001,2,7,4,1,1,1,0,12400,1298558,20,9570,534789,0.78,8,7,10,0
25089,South Africa,Johannesburg,Townhouse,Semi-Furnished,1138,207538,2007,4,6,6,1,0,2,1,36584,97862,25,10505,109676,0.02,4,2,4,0
25090,France,Lyon,Independent House,Semi-Furnished,3675,1547713,1967,6,1,1,1,1,2,0,45775,1253865,30,13815,293848,0.17,4,8,6,0
25091,Singapore,Singapore,Villa,Fully-Furnished,5107,3579241,1985,0,5,2,1,1,0,0,75730,1487012,20,5870,2092229,0.15,9,4,5,1
25092,France,Paris,Villa,Unfurnished,3118,1314110,2005,1,8,3,0,1,0,0,72325,851107,30,8095,463003,0.07,9,2,9,1
25093,UAE,Abu Dhabi,Villa,Fully-Furnished,3132,1880416,2016,3,6,5,1,0,1,1,92345,1056197,10,15475,824219,0.13,5,8,5,0
25094,UAE,Abu Dhabi,Villa,Unfurnished,4438,2667463,1985,2,4,2,0,0,0,1,10455,1400680,25,5085,1266783,0.9,6,7,9,0
25095,Australia,Brisbane,Farmhouse,Semi-Furnished,4417,1411874,1978,0,5,3,1,0,1,0,10715,931612,15,13985,480262,0.76,8,8,2,0
25096,China,Beijing,Independent House,Unfurnished,1730,660263,1990,1,5,4,0,1,1,0,56645,534683,10,11840,125580,0.11,7,6,8,1
25097,India,Hyderabad,Farmhouse,Fully-Furnished,5355,800412,1991,0,5,4,0,0,0,0,7136,340270,30,887,460142,0.3,4,4,4,0
25098,Singapore,Singapore,Townhouse,Semi-Furnished,5051,3534796,1961,3,5,3,0,0,2,0,92615,2877064,25,12525,657732,0.21,7,10,3,1
25099,UAE,Abu Dhabi,Independent House,Semi-Furnished,4068,2439699,2009,3,8,4,0,1,0,1,71465,1938026,20,7545,501673,0.2,8,8,7,0
25100,Japan,Osaka,Apartment,Fully-Furnished,991,447525,2013,4,1,1,0,1,2,0,69190,197807,20,4725,249718,0.02,8,7,4,1
25101,India,Chennai,Townhouse,Fully-Furnished,668,102773,1981,5,3,3,0,1,0,0,2891,48547,10,3051,54226,0.19,8,8,2,1
25102,China,Shenzhen,Apartment,Fully-Furnished,998,377758,1973,3,8,8,1,0,0,0,54870,300989,25,15550,76769,0.04,9,4,6,1
25103,Brazil,Rio de Janeiro,Independent House,Semi-Furnished,1890,381330,2006,5,6,1,0,1,0,0,36272,246217,20,15200,135113,0.05,7,7,5,1
25104,Australia,Brisbane,Studio,Unfurnished,1669,530751,1974,5,3,3,0,1,1,0,32235,370318,10,19595,160433,0.13,7,4,4,1
25105,Singapore,Singapore,Independent House,Semi-Furnished,910,637470,1973,2,4,1,1,1,4,0,29540,264547,20,18145,372923,0.07,6,9,1,0
25106,Canada,Montreal,Townhouse,Semi-Furnished,4397,1534623,1990,3,5,5,0,0,0,1,45190,1181467,15,4445,353156,0.23,4,4,5,0
25107,Singapore,Singapore,Villa,Unfurnished,4251,2971029,1993,0,8,5,1,0,3,0,82155,1802794,20,16160,1168235,0.16,3,4,10,0
25108,UK,Manchester,Apartment,Unfurnished,2652,1061174,2015,2,8,4,1,1,2,0,40240,608133,20,17015,453041,0.11,6,10,6,0
25109,Japan,Kyoto,Farmhouse,Semi-Furnished,4042,1823828,1997,1,7,3,0,0,0,0,18765,1018787,15,5430,805041,0.47,4,7,2,0
25110,China,Shanghai,Independent House,Unfurnished,5468,2074905,1981,2,5,5,0,0,1,1,24745,1452356,30,17025,622549,0.37,4,3,1,0
25111,Singapore,Singapore,Villa,Semi-Furnished,2274,1590141,2021,0,4,4,0,1,0,1,43660,1324071,10,2935,266070,0.34,7,9,10,0
25112,China,Beijing,Villa,Unfurnished,1485,569256,1996,5,6,5,1,1,1,0,39130,288420,30,11970,280836,0.05,8,1,2,1
25113,Canada,Vancouver,Apartment,Unfurnished,1317,465503,1972,5,7,2,1,1,0,0,60150,200138,15,9265,265365,0.03,10,3,10,1
25114,Japan,Kyoto,Independent House,Semi-Furnished,434,193211,2019,6,2,2,0,0,2,0,58500,98764,25,12135,94447,0.01,8,7,3,1
25115,UK,Liverpool,Independent House,Semi-Furnished,3801,1520701,2019,4,8,7,0,1,1,0,20860,826618,20,6170,694083,0.3,5,1,2,0
25116,UK,Birmingham,Farmhouse,Fully-Furnished,2887,1154832,2005,2,4,3,0,0,2,0,16550,814720,25,18015,340112,0.33,5,10,1,0
25117,Germany,Munich,Townhouse,Unfurnished,3617,1086539,1997,6,4,4,0,1,0,0,87660,584194,20,18200,502345,0.05,2,7,9,0
25118,Australia,Melbourne,Independent House,Unfurnished,1719,554827,1960,0,4,1,1,0,4,1,58905,308486,15,7115,246341,0.05,10,8,8,0
25119,UAE,Abu Dhabi,Farmhouse,Fully-Furnished,5263,3158082,1990,3,8,5,0,0,4,0,73810,2388443,15,16790,769639,0.28,7,4,8,0
25120,India,Delhi,Farmhouse,Semi-Furnished,3780,566008,1976,0,4,4,1,1,1,0,16412,428269,20,1367,137739,0.19,4,2,7,0
25121,South Africa,Cape Town,Independent House,Fully-Furnished,418,71693,1976,4,7,4,1,0,0,0,34460,45919,20,3875,25774,0.01,4,4,5,0
25122,Japan,Kyoto,Farmhouse,Semi-Furnished,457,210305,1999,6,2,2,0,1,2,1,86360,98886,20,19770,111419,0.01,2,7,4,0
25123,Singapore,Singapore,Apartment,Unfurnished,759,534489,2018,6,8,4,0,1,0,0,27060,394759,30,15925,139730,0.09,4,8,3,0
25124,Australia,Melbourne,Apartment,Unfurnished,790,248191,2000,3,7,5,1,1,1,1,41820,133684,15,4000,114507,0.03,9,3,4,0
25125,Brazil,Rio de Janeiro,Townhouse,Unfurnished,1743,349915,1965,6,8,4,1,0,2,0,7600,256034,15,7985,93881,0.29,9,3,4,1
25126,France,Marseille,Studio,Fully-Furnished,4944,2080892,1999,5,2,1,1,0,2,0,62135,1015852,15,16845,1065040,0.14,10,9,3,1
25127,Germany,Berlin,Independent House,Semi-Furnished,3870,1156867,1989,0,6,1,1,0,2,0,28865,599526,15,17285,557341,0.18,9,3,3,1
25128,Japan,Kyoto,Farmhouse,Semi-Furnished,5101,2292781,2006,1,8,8,1,0,1,0,48225,1165831,20,17580,1126950,0.18,1,3,1,0
25129,China,Shenzhen,Independent House,Semi-Furnished,3891,1476333,2008,1,1,1,0,1,1,1,29640,622069,20,5170,854264,0.16,9,3,10,0
25130,Japan,Osaka,Villa,Fully-Furnished,5642,2533947,2004,5,1,1,1,1,0,1,49270,1147418,20,5080,1386529,0.17,4,4,8,0
25131,Canada,Vancouver,Apartment,Fully-Furnished,4274,1496900,2018,6,5,1,1,0,0,1,17195,926775,25,18100,570125,0.36,3,4,3,0
25132,India,Chennai,Villa,Unfurnished,1332,201635,2019,3,8,8,0,0,1,0,9034,170103,30,970,31532,0.12,5,7,8,0
25133,Singapore,Singapore,Studio,Unfurnished,4783,3350041,1971,5,1,1,0,0,3,1,57655,2212944,10,5315,1137097,0.44,2,6,9,0
25134,Australia,Brisbane,Townhouse,Unfurnished,2802,894652,2014,6,8,8,0,1,1,1,97715,713041,10,3730,181611,0.08,1,8,5,0
25135,Brazil,Rio de Janeiro,Townhouse,Semi-Furnished,726,149141,1991,1,4,3,0,1,0,0,37474,61449,30,6625,87692,0.01,10,6,10,1
25136,Singapore,Singapore,Townhouse,Semi-Furnished,4794,3356736,2017,2,1,1,0,0,0,1,99860,2763672,30,11935,593064,0.17,2,1,10,0
25137,Brazil,Rio de Janeiro,Villa,Unfurnished,2883,580915,2005,1,1,1,0,0,2,0,12856,405343,25,16615,175572,0.21,7,10,6,1
25138,Australia,Sydney,Independent House,Fully-Furnished,4754,1522325,1993,0,4,3,1,0,4,1,25250,1134282,30,7840,388043,0.28,10,10,9,0
25139,Japan,Kyoto,Apartment,Unfurnished,936,425574,1994,5,7,7,0,1,1,0,80230,205961,20,10615,219613,0.02,3,5,10,0
25140,UK,Birmingham,Apartment,Fully-Furnished,4039,1611127,1981,6,6,2,1,1,2,1,96670,938142,20,11280,672985,0.07,7,7,1,0
25141,France,Marseille,Townhouse,Fully-Furnished,922,391044,2020,2,5,5,0,0,1,0,79340,211589,20,3210,179455,0.02,10,4,8,1
25142,Japan,Tokyo,Independent House,Unfurnished,5064,2280744,2015,5,2,1,1,1,0,0,67215,1804476,30,12665,476268,0.17,6,1,7,0
25143,Canada,Toronto,Apartment,Semi-Furnished,5589,1953550,1994,0,1,1,0,0,0,0,73715,916459,15,3125,1037091,0.11,9,7,8,1
25144,USA,Chicago,Villa,Unfurnished,5386,2694202,1973,5,1,1,0,0,3,0,38685,1354676,30,5535,1339526,0.22,6,8,7,0
25145,Australia,Brisbane,Apartment,Unfurnished,4282,1369657,1973,1,4,1,0,0,2,0,66210,1111741,15,17805,257916,0.15,2,9,1,0
25146,South Africa,Johannesburg,Townhouse,Semi-Furnished,4617,832053,1986,2,7,3,0,1,2,0,17650,450063,30,18670,381990,0.16,2,7,7,0
25147,India,Pune,Apartment,Semi-Furnished,4843,722375,2021,6,5,4,0,0,0,0,18015,606057,10,1546,116318,0.38,5,2,3,0
25148,France,Paris,Townhouse,Fully-Furnished,3051,1282195,2005,6,6,2,1,1,0,1,85505,952840,30,12265,329355,0.07,5,4,10,0
25149,Brazil,Rio de Janeiro,Apartment,Fully-Furnished,1457,291998,1963,0,3,3,0,1,3,1,25812,162147,10,10955,129851,0.07,7,4,5,0
25150,Japan,Osaka,Independent House,Fully-Furnished,4772,2144318,2023,3,8,7,0,0,0,1,72525,1764830,25,4915,379488,0.16,4,6,6,0
25151,Germany,Munich,Villa,Unfurnished,2683,805164,1962,2,4,1,0,1,2,0,69555,346915,15,10850,458249,0.04,8,5,10,1
25152,Canada,Toronto,Independent House,Semi-Furnished,4745,1664064,1977,4,8,7,1,0,1,1,85190,1092872,10,8475,571192,0.15,9,5,2,0
25153,Singapore,Singapore,Villa,Semi-Furnished,598,420722,2021,1,8,7,0,0,0,0,68200,259100,15,16040,161622,0.03,9,10,9,1
25154,France,Marseille,Apartment,Unfurnished,2257,948691,1980,0,6,1,0,1,0,1,78010,541472,25,14145,407219,0.05,2,9,5,0
25155,USA,Houston,Studio,Semi-Furnished,2922,1465240,1999,5,1,1,1,1,3,0,29015,984565,15,8090,480675,0.3,9,2,7,0
25156,South Africa,Cape Town,Studio,Semi-Furnished,5127,919254,1979,6,4,2,0,1,2,0,16156,590577,25,17875,328677,0.25,3,6,5,0
25157,France,Paris,Studio,Semi-Furnished,1406,588027,1976,5,4,4,1,1,2,1,78485,388197,15,9520,199830,0.04,8,4,7,0
25158,Singapore,Singapore,Farmhouse,Semi-Furnished,5865,4104869,2015,4,5,1,1,1,2,0,84515,2664292,20,8645,1440577,0.24,8,7,7,1
25159,Germany,Munich,Villa,Semi-Furnished,1005,304530,1982,0,1,1,0,1,1,0,72250,178981,25,4150,125549,0.02,10,7,8,1
25160,South Africa,Cape Town,Townhouse,Unfurnished,4666,844798,1984,5,4,1,0,1,1,0,20774,533495,25,8850,311303,0.17,1,4,3,0
25161,Canada,Toronto,Apartment,Fully-Furnished,5715,2000100,1975,2,4,4,0,0,1,0,77400,1435853,25,9390,564247,0.13,1,9,6,0
25162,UK,Liverpool,Apartment,Semi-Furnished,2646,1054563,1997,1,6,4,1,1,0,0,33790,476759,10,12495,577804,0.16,9,8,9,1
25163,Canada,Toronto,Apartment,Semi-Furnished,1565,547092,2001,6,5,3,1,0,0,0,55270,276945,25,16640,270147,0.03,6,1,7,0
25164,Japan,Tokyo,Townhouse,Fully-Furnished,1850,828307,1972,0,2,1,0,0,0,0,49965,527081,10,19385,301226,0.12,3,6,6,0
25165,China,Shenzhen,Studio,Fully-Furnished,2270,857824,2004,5,8,6,1,0,0,0,38875,672401,20,10305,185423,0.13,1,10,8,0
25166,Singapore,Singapore,Independent House,Semi-Furnished,912,633557,1982,0,3,1,0,0,1,0,75850,346129,30,3940,287428,0.03,6,8,8,0
25167,France,Marseille,Farmhouse,Fully-Furnished,5880,2464706,1982,3,4,3,1,1,1,1,99920,1807147,15,8625,657559,0.16,8,4,10,0
25168,China,Beijing,Villa,Fully-Furnished,737,280702,1980,5,5,3,1,1,0,0,10430,126362,20,7330,154340,0.09,8,7,9,1
25169,USA,New York,Townhouse,Fully-Furnished,4290,2148565,1999,0,5,1,0,0,1,0,54185,1336442,30,9665,812123,0.16,10,7,6,1
25170,Canada,Montreal,Villa,Semi-Furnished,4454,1560527,1970,5,8,4,1,0,1,0,93845,1304460,30,13145,256067,0.09,8,9,9,1
25171,UK,Manchester,Independent House,Semi-Furnished,1317,531339,1969,6,6,3,1,1,1,1,34315,230752,10,17630,300587,0.08,1,5,10,0
25172,USA,Chicago,Farmhouse,Semi-Furnished,3307,1652029,2019,5,7,7,0,1,0,0,12495,1165211,20,15560,486818,0.7,4,7,10,0
25173,USA,San Francisco,Villa,Fully-Furnished,4683,2346066,1974,0,2,1,0,1,1,0,40145,1235891,10,16210,1110175,0.35,4,1,2,0
25174,Australia,Brisbane,Independent House,Semi-Furnished,2796,895979,1961,5,1,1,1,0,2,0,88950,692274,10,5655,203705,0.09,7,2,3,1
25175,Germany,Munich,Villa,Fully-Furnished,3434,1032661,2017,2,4,3,0,0,2,0,20625,453953,10,5795,578708,0.25,2,1,9,0
25176,China,Shenzhen,Independent House,Unfurnished,4225,1608678,1970,0,1,1,1,1,0,0,51915,698449,15,15190,910229,0.12,6,9,5,0
25177,China,Shenzhen,Villa,Semi-Furnished,1382,522030,2014,0,8,1,1,1,0,1,87395,338691,15,9295,183339,0.03,5,3,8,0
25178,Singapore,Singapore,Studio,Semi-Furnished,5646,3950566,2021,1,1,1,0,0,0,1,29310,3212604,15,19235,737962,0.95,9,4,9,0
25179,India,Bangalore,Apartment,Unfurnished,5490,820386,2005,0,4,4,0,1,2,0,13325,360620,20,3548,459766,0.2,7,4,9,1
25180,Germany,Frankfurt,Villa,Fully-Furnished,2613,785830,2018,3,4,4,1,1,0,1,16930,587954,30,15930,197876,0.22,8,5,10,0
25181,Germany,Berlin,Apartment,Unfurnished,3991,1200246,1996,3,7,7,1,1,0,0,84545,563913,25,16210,636333,0.05,10,2,3,1
25182,India,Pune,Studio,Fully-Furnished,4285,643200,1988,1,5,1,1,0,0,1,14095,325025,25,2462,318175,0.16,9,6,9,0
